ts,gpu_index,power_w,util_gpu_pct,util_mem_pct,mem_used_mb,temp_c
1774541955.736,0,47.30,13,2,804,51
1774541955.994,0,43.41,13,2,804,51
1774541956.227,0,41.98,14,2,804,50
1774541956.503,0,41.28,14,2,804,50
1774541956.735,0,40.66,15,2,804,48
1774541956.977,0,40.04,16,2,804,48
1774541957.217,0,39.74,16,2,804,48
1774541957.462,0,39.42,17,2,808,48
1774541957.702,0,41.52,18,2,979,47
1774541957.960,0,44.82,7,1,979,47
1774541958.200,0,48.05,7,1,991,49
1774541958.447,0,53.06,9,2,1065,49
1774541958.689,0,56.45,9,2,1088,49
1774541958.934,0,59.20,16,5,1088,49
1774541959.168,0,58.94,7,1,1088,49
1774541959.409,0,58.78,7,1,1086,49
