"scenario","training_seed","split_seed","run_order","strategy","controller","epochs","patience","controller_min_epochs","controller_patience","cache_policy","experiment"
"train128-scratch","0","42","1","fixed_epoch_30","none","30","30","30","30","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","0","42","2","uncertainty_aware_controller","uncertainty_aware","100","100","35","5","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","0","42","3","fixed_epoch_50","none","50","50","50","50","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","0","42","4","standard_early_stopping","metric_early_stopping","100","100","1","20","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","0","42","5","full100","none","100","100","100","100","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","0","42","6","delta_mape_controller","delta_mape","100","100","20","3","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","1","42","1","fixed_epoch_50","none","50","50","50","50","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","1","42","2","standard_early_stopping","metric_early_stopping","100","100","1","20","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","1","42","3","full100","none","100","100","100","100","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","1","42","4","delta_mape_controller","delta_mape","100","100","20","3","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","1","42","5","fixed_epoch_30","none","30","30","30","30","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","1","42","6","uncertainty_aware_controller","uncertainty_aware","100","100","35","5","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","2","42","1","full100","none","100","100","100","100","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","2","42","2","delta_mape_controller","delta_mape","100","100","20","3","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","2","42","3","uncertainty_aware_controller","uncertainty_aware","100","100","35","5","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","2","42","4","fixed_epoch_30","none","30","30","30","30","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","2","42","5","standard_early_stopping","metric_early_stopping","100","100","1","20","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","2","42","6","fixed_epoch_50","none","50","50","50","50","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","3","42","1","standard_early_stopping","metric_early_stopping","100","100","1","20","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","3","42","2","uncertainty_aware_controller","uncertainty_aware","100","100","35","5","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","3","42","3","delta_mape_controller","delta_mape","100","100","20","3","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","3","42","4","fixed_epoch_30","none","30","30","30","30","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","3","42","5","fixed_epoch_50","none","50","50","50","50","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","3","42","6","full100","none","100","100","100","100","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","4","42","1","delta_mape_controller","delta_mape","100","100","20","3","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","4","42","2","fixed_epoch_30","none","30","30","30","30","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","4","42","3","fixed_epoch_50","none","50","50","50","50","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","4","42","4","full100","none","100","100","100","100","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","4","42","5","standard_early_stopping","metric_early_stopping","100","100","1","20","ram","carpk-stop-policy-v2-train128-scratch"
"train128-scratch","4","42","6","uncertainty_aware_controller","uncertainty_aware","100","100","35","5","ram","carpk-stop-policy-v2-train128-scratch"
"train256-pretrained","0","42","1","fixed_epoch_50","none","50","50","50","50","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","0","42","2","delta_mape_controller","delta_mape","100","100","20","3","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","0","42","3","standard_early_stopping","metric_early_stopping","100","100","1","20","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","0","42","4","uncertainty_aware_controller","uncertainty_aware","100","100","30","5","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","0","42","5","full100","none","100","100","100","100","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","0","42","6","fixed_epoch_30","none","30","30","30","30","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","1","42","1","fixed_epoch_50","none","50","50","50","50","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","1","42","2","uncertainty_aware_controller","uncertainty_aware","100","100","30","5","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","1","42","3","delta_mape_controller","delta_mape","100","100","20","3","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","1","42","4","full100","none","100","100","100","100","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","1","42","5","fixed_epoch_30","none","30","30","30","30","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","1","42","6","standard_early_stopping","metric_early_stopping","100","100","1","20","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","2","42","1","delta_mape_controller","delta_mape","100","100","20","3","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","2","42","2","full100","none","100","100","100","100","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","2","42","3","standard_early_stopping","metric_early_stopping","100","100","1","20","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","2","42","4","fixed_epoch_30","none","30","30","30","30","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","2","42","5","fixed_epoch_50","none","50","50","50","50","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","2","42","6","uncertainty_aware_controller","uncertainty_aware","100","100","30","5","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","3","42","1","fixed_epoch_30","none","30","30","30","30","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","3","42","2","uncertainty_aware_controller","uncertainty_aware","100","100","30","5","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","3","42","3","fixed_epoch_50","none","50","50","50","50","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","3","42","4","standard_early_stopping","metric_early_stopping","100","100","1","20","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","3","42","5","delta_mape_controller","delta_mape","100","100","20","3","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","3","42","6","full100","none","100","100","100","100","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","4","42","1","fixed_epoch_30","none","30","30","30","30","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","4","42","2","standard_early_stopping","metric_early_stopping","100","100","1","20","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","4","42","3","uncertainty_aware_controller","uncertainty_aware","100","100","30","5","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","4","42","4","fixed_epoch_50","none","50","50","50","50","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","4","42","5","full100","none","100","100","100","100","ram","carpk-stop-policy-v2-train256-pretrained"
"train256-pretrained","4","42","6","delta_mape_controller","delta_mape","100","100","20","3","ram","carpk-stop-policy-v2-train256-pretrained"
